Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Content_Warning_Category,Diversity_Category,Genre_Category,Genre_Tropes,Genre_Themes,Genre_Format,Genre_Subtags
Dead Silence,S.A. Barnes,BookTok,Alex,25-Mar,Haunted spaceship thriller resurging,Viral Momentum,"Sci-Fi, Horror, Thriller",No,Tor Nightfire,2022,352,Film,,"Gore, hallucinations",“Titanic in space” but full of screams,Violence,,Science Fiction,,,,
The Reformatory,Tananarive Due,BookTok,Alex,25-Mar,Black horror queen returns with fire,Viral Momentum,"Historical Horror, Speculative",No,Gallery,2023,432,Film,Black,"Incarceration, death",A wrongly accused boy’s ghost story in Jim Crow South,"Death / Grief, Medical / Institutional Abuse",Black / African,Horror,,,,
All the Sinners Bleed,S.A. Cosby,BookTok,Alex,25-Mar,Viral crime thriller with teeth,Viral Momentum,"Southern Noir, Mystery",No,Flatiron,2023,352,TV,Black,"Racism, violence",A Black sheriff investigates twisted killings in the South,"Racism / Discrimination, Violence",Black / African,Mystery / Thriller,,,,
Our Share of Night,Mariana Enríquez,BookTok,Alex,25-Mar,Occult horror with literary cred,Viral Momentum,"Horror, Occult, Grief",Yes,Hogarth,2023,608,Not Yet Considered,Latinx,"SA, blood rituals",A father protects his son from a cult — maybe,Sexual Violence / SA,Latinx,Horror,,Grief,,Grief
Hell Followed With Us,Andrew Joseph White,BookTok,Alex,25-Mar,Queer horror continues to trend,Queer / Identity-Based Discovery,"Dystopian Horror, YA, Queer Lit",No,Peachtree Teen,2022,416,Film,"Queer,Neurodiverse","Body horror, cults",Trans teen flees a bioweapon cult while mutating,"Religious Trauma / Cults, Sexual Content / Explicit Scenes","Neurodivergent, Queer Identity",Horror,,Queer Lit,,Queer Lit
When the Reckoning Comes,LaTanya McQueen,BookTok,Alex,25-Mar,Southern Gothic revenge horror,Other / Uncategorized,"Horror, Social Commentary",No,Harper Perennial,2021,240,Not Yet Considered,Black,"Racism, violence",A plantation-turned-wedding venue is still haunted,"Racism / Discrimination, Violence",Black / African,Horror,,,,
The Ballad of Perilous Graves,Alex Jennings,BookTok,Alex,25-Mar,Musical magic in alt-New Orleans,New Release Buzz,"Urban Fantasy, Afrofuturism",Yes,Redhook,2022,432,Not Yet Considered,Black,Surrealism,"Magic, music, and a song that can reshape worlds",Uncategorized,Black / African,Fantasy,,,,
The Luminous Dead,Caitlin Starling,BookTok,Alex,25-Mar,Claustrophobic queer sci-fi thriller,Queer / Identity-Based Discovery,"Sci-Fi, Horror, Survival",No,Harper Voyager,2019,432,Not Yet Considered,Queer,"Isolation, gaslighting",A solo cave expedition turns into psychological hell,Abuse (Emotional/Physical),Queer Identity,Science Fiction,,,,
And Then I Woke Up,Malcolm Devlin,BookTok,Alex,25-Mar,"Short, twisty speculative read",Other / Uncategorized,"Novella, Speculative, Psychological",No,Tor.com,2022,176,Film,,Mass hallucinations,"A virus rewrites reality, and nobody agrees on truth",Uncategorized,,Horror,,,Novella,Novella
Blood Like Magic,Liselle Sambury,BookTok,Alex,25-Mar,Magic meets moral dilemma,Viral Momentum,"YA Urban Fantasy, Queer Lit",Yes,Margaret K. McElderry,2021,496,Not Yet Considered,"Black,Queer",Family trauma,"To save your family, would you kill your first love?",Family Conflict / Trauma,"Black / African, Queer Identity",Fantasy,,Queer Lit,,Queer Lit
Tell Me I’m Worthless,Alison Rumfitt,BookTok,Alex,25-Mar,Trans horror still shocking BookTok,Series Momentum,"Horror, Queer Gothic",No,Cipher Press,2021,288,Film,Queer,"SA, fascism",A haunted house feeds on political trauma,"Sexual Violence / SA, War / Political Oppression",Queer Identity,Horror,,,,
"No Gods, No Monsters",Cadwell Turnbull,BookTok,Alex,25-Mar,Still trending with monster lovers,Viral Momentum,"Urban Fantasy, Speculative",Yes,Blackstone,2021,336,Film,"Black,Queer","Death, magic",Monsters go public — but the world isn’t ready,Death / Grief,"Black / African, Queer Identity",Fantasy,,,,
The Violence,Delilah S. Dawson,BookTok,Alex,25-Mar,Pandemic allegory in brutal form,Viral Momentum,"Speculative, Dystopian",No,Del Rey,2022,496,Film,,Women fight back with a virus that sparks rage,,Violence,,Speculative Fiction,,,,
The Blacktongue Thief,Christopher Buehlman,BookTok,Alex,25-Mar,Gritty fantasy with dark humor,Viral Momentum,"Fantasy, Adventure, Horror Elements",Yes,Tor,2021,416,Not Yet Considered,,"Violence, war","A thief, a witch, and a talking cat go on a mission","Violence, War / Political Oppression",,Fantasy,,,,
The Undetectables,Courtney Smyth,BookTok,Alex,25-Mar,Queer witches meet murder mystery,Queer / Identity-Based Discovery,"Queer Fantasy, Murder Mystery",Yes,Berkley,2024,384,TV,Queer,"Death, witches",Necromancers solving crimes and flirting,"Death / Grief, Supernatural Horror",Queer Identity,Fantasy,,,,
We Are Here,Graham Hurley,BookTok,Alex,25-Apr,Conspiracy + tech thriller resurges,Viral Momentum,"Thriller, Speculative Fiction",No,Indie,2024,352,Film,,Surveillance,Tech addiction meets social breakdown,Medical / Institutional Abuse,,Mystery / Thriller,,,,
The Upper World,Femi Fadugba,BookTok,Alex,25-Apr,Netflix adaptation buzz (Daniel Kaluuya),Adaptation / Movie Buzz,"Sci-Fi, Time Travel, YA",Yes,HarperTeen,2021,368,Film,Black,"Violence, trauma",A teen finds a physicist's note that changes time,Violence,Black / African,Science Fiction,,,,
The Rage of Dragons,Evan Winter,BookTok,Alex,25-Apr,Epic Black-led fantasy returns to feed,Viral Momentum,"Fantasy, War, Revenge",Yes,Orbit,2019,544,Not Yet Considered,Black,"Violence, trauma",One man's rage fuels a brutal quest in a divided empire,Violence,Black / African,Fantasy,,,,
The World Wasn’t Ready for You,Justin C. Key,BookTok,Alex,25-Apr,Stories w/ Black horror + sci-fi edge,Viral Momentum,"Speculative, Horror, Sci-Fi",No,Harper,2023,288,Not Yet Considered,Black,Medical trauma,Short stories at the intersection of race + tech,Medical / Institutional Abuse,Black / African,Science Fiction,,,,
The Trees,Percival Everett,BookTok,Alex,25-Apr,Surrealist racial horror resurges,Viral Momentum,"Satire, Horror, Literary Mystery",No,Graywolf,2021,308,Film,Black,"Racism, murder",Strange bodies pile up in the wake of a lynching,"Racism / Discrimination, Violence",Black / African,Horror,,Satire,,Satire
The Spite House,Johnny Compton,BookTok,Alex,25-Apr,Southern haunted house still trending,Viral Momentum,"Horror, Psychological",No,Tor Nightfire,2023,304,Not Yet Considered,Black,"Family trauma, death",What do you lose to escape your past?,"Death / Grief, Family Conflict / Trauma",Black / African,Horror,,,,
The Destroyer of Worlds,Matt Ruff,BookTok,Alex,25-Apr,A Lovecraft Country follow-up,Viral Momentum,"Speculative, Alt-History",Yes,Harper,2023,336,Not Yet Considered,Black,"Racism, supernatural horror",Monsters come in many forms — including human,"Racism / Discrimination, Supernatural Horror",Black / African,Historical Fiction,,,,
The Afrofuturist’s Dilemma,Sheree Renée Thomas,BookTok,Alex,25-Apr,Essay + story hybrid trending,Viral Momentum,"Afrofuturism, Essay Collection",No,Independent,2024,224,Not Yet Considered,Black,,Exploration of the politics + future of Black storytelling,,Black / African,Science Fiction,,,,
How to Live Safely in a Science Fictional Universe,Charles Yu,BookTok,Alex,25-Apr,Literary sci-fi time loop recirculates,Viral Momentum,"Sci-Fi, Literary, Time Travel",No,Pantheon,2010,256,Not Yet Considered,Asian-American,Time grief,A repair tech gets lost in his own memories,Death / Grief,Asian / South Asian,Science Fiction,,,,
Babel,R.F. Kuang,BookTok,Alex,25-Apr,BookTok rereads post-2022 hype,Series Momentum,"Dark Academia, Alt-History, Speculative",No,Harper Voyager,2022,560,TV,Multiracial Cast,"Colonialism, death",Language is power — and blood is the price,"Death / Grief, Racism / Discrimination",Ethnic & Cultural Identity,Historical Fiction,,Dark Academia,,Dark Academia
Jackal,Erin E. Adams,BookTok,Alex,25-Apr,Black horror debut back on trend,Viral Momentum,"Horror, Thriller, Mystery",No,Bantam,2022,304,TV,Black,"Missing children, racism",A woman returns to her hometown — and its secrets,Racism / Discrimination,Black / African,Horror,,,,
A Master of Djinn,P. Djèlí Clark,BookTok,Alex,25-Apr,Alt-history steampunk with African rep,Viral Momentum,"Fantasy, Mystery, Historical",Yes,Tor,2021,400,Not Yet Considered,Black,Murder mystery,"In 1912 Cairo, magic meets detectives",Violence,Black / African,Fantasy,,,,
Build Your House Around My Body,Violet Kupersmith,BookTok,Alex,25-Apr,Literary horror with Vietnamese folklore,Viral Momentum,"Horror, Spec Fic, Historical",No,Random House,2021,400,Not Yet Considered,Southeast Asian,"Possession, cultural hauntings","Women vanish, bodies shift, myths return","Religious Trauma / Cults, Supernatural Horror",Asian / South Asian,Horror,,,,
American War,Omar El Akkad,BookTok,Alex,25-Apr,Near-future war fiction resurges,Viral Momentum,"Speculative, Dystopian, War",No,Vintage,2017,352,TV,,Political violence,A second Civil War — and one girl caught in it,"Violence, War / Political Oppression",,Speculative Fiction,,,,
The Other Black Girl,Zakiya Dalila Harris,BookTok,Alex,25-Apr,Satirical horror of office politics,Viral Momentum,"Thriller, Horror, Social Commentary",No,Atria,2021,368,TV,Black,"Gaslighting, racism","Publishing, power, and paranoia","Abuse (Emotional/Physical), Racism / Discrimination",Black / African,Horror,,,,
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-May,Dystopian arena justice back on trend,Viral Momentum,"Speculative, Dystopian, Thriller",No,Pantheon,2023,384,Not Yet Considered,Black,"Violence, carceral system",Inmates compete for freedom in a brutal system,Violence,Black / African,Mystery / Thriller,,,,
Blood Debts,Terry J. Benton-Walker,BookTok,Alex,25-May,Magic + family + revenge in New Orleans,New Release Buzz,"Fantasy, Urban Fantasy, YA",Yes,Tor Teen,2023,416,Film,"Black,Queer","Family trauma, dark magic",Twins unlock generational curses,Family Conflict / Trauma,"Black / African, Queer Identity",Fantasy,,,,
My Monticello,Jocelyn Nicole Johnson,BookTok,Alex,25-May,Post-racial collapse novella trending again,Viral Momentum,"Dystopian, Short Stories",No,Henry Holt,2021,224,Not Yet Considered,Black,"White supremacy, survival",A group of neighbors take refuge at Monticello,Racism / Discrimination,Black / African,Speculative Fiction,,,Anthology,Anthology
Symphony of Secrets,Brendan Slocumb,BookTok,Alex,25-May,Music + mystery + historical injustice,Viral Momentum,"Mystery, Historical, Music Lit",No,Anchor,2023,352,Not Yet Considered,Black,"Racism, plagiarism",A conductor uncovers the Black genius behind a symphony,Racism / Discrimination,Black / African,Mystery / Thriller,,,,
Friday Black,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-May,Short stories with sharp dystopian satire,Viral Momentum,"Dystopian, Satire, Speculative",No,Mariner,2018,208,Film,Black,"Violence, racism",Retail workers in a hyper-capitalist hell,"Racism / Discrimination, Violence",Black / African,Speculative Fiction,,Satire,,Satire
The Free People’s Village,Sim Kern,BookTok,Alex,25-May,"Alt-history, queer uprisings, climate themes",Queer / Identity-Based Discovery,"Speculative, Political",No,Levine Querido,2023,304,Not Yet Considered,"Queer,Bipoc","Climate crisis, gentrification",Imagining liberation in a crumbling U.S.,Classism / Poverty,Queer Identity,Speculative Fiction,,Political,,Political
"No Gods, No Monsters",Cadwell Turnbull,BookTok,Alex,25-May,Monsters-as-metaphor for systemic violence,Viral Momentum,"Speculative, Horror",Yes,Blackstone,2021,384,Film,"Black,Queer","Violence, trauma",A secret society of monsters emerges,Violence,"Black / African, Queer Identity",Horror,,,,
Invisible Things,Mat Johnson,BookTok,Alex,25-May,Political satire w/ aliens + mind control,Viral Momentum,"Sci-Fi, Satire",No,One World,2022,304,Film,Black,Government control,A Black sociologist uncovers truth on a moon colony,Uncategorized,Black / African,Science Fiction,,Satire,,Satire
The Conjure-Man Dies,Rudolph Fisher,BookTok,Alex,25-May,First Black detective novel resurges,Viral Momentum,"Mystery, Historical, Harlem Renaissance",No,Reissue,1932,240,Not Yet Considered,Black,Murder mystery,Harlem’s conjure-man is dead—who did it?,Violence,Black / African,Mystery / Thriller,,,,
Lakewood,Megan Giddings,BookTok,Alex,25-May,Experimental horror resurfaces,Viral Momentum,"Horror, Speculative",No,Amistad,2020,304,Film,Black,Medical abuse,What happens when Black bodies are studied in secret?,"Abuse (Emotional/Physical), Medical / Institutional Abuse",Black / African,Horror,,,,
They Come at Knight,Yasmin Angoe,BookTok,Alex,25-May,Assassin thriller returns to BookTok,Series Momentum,"Thriller, Suspense",Yes,Thomas & Mercer,2022,352,Not Yet Considered,Black,"Death, espionage",Elite Ghanaian-American assassin vs global syndicate,Death / Grief,Black / African,Mystery / Thriller,,,,
The Gilda Stories,Jewelle Gomez,BookTok,Alex,25-May,Queer Black vampire feminist classic resurfaces,Queer / Identity-Based Discovery,"Speculative, Horror, Queer Lit",Yes,City Lights,1991,288,Not Yet Considered,"Queer,Black","Immortality, racism",A vampire thrives through centuries of survival,Racism / Discrimination,"Black / African, Queer Identity",Horror,,Queer Lit,,Queer Lit
Blacktop Wasteland,S.A. Cosby,BookTok,Alex,25-May,Southern noir resurgence,Viral Momentum,"Thriller, Crime",Yes,Flatiron,2020,304,Not Yet Considered,Black,"Violence, poverty",A getaway driver is pulled back in,"Classism / Poverty, Violence",Black / African,Mystery / Thriller,,,,
The Memory Librarian,Janelle Monáe,BookTok,Alex,25-May,Queer Afrofuturist anthology still trending,Queer / Identity-Based Discovery,"Sci-Fi, Short Stories",No,Harper Voyager,2022,336,Not Yet Considered,"Queer,Black","Surveillance, identity",Tales from the Dirty Computer universe,Medical / Institutional Abuse,"Black / African, Queer Identity",Science Fiction,,,Anthology,Anthology
The Water Knife,Paolo Bacigalupi,BookTok,Alex,25-May,Climate sci-fi spikes with summer,Viral Momentum,"Sci-Fi, Dystopian, Thriller",No,Vintage,2015,384,Film,,,,,,Science Fiction,,,,
The Berry Pickers,Amanda Peters,BookTok,Linda,25-Jan,Quiet rise through book clubs,Series Momentum,"Historical Fiction, Family Drama",No,Catapult,2023,320,Not Yet Considered,Indigenous,Child disappearance,"A Mi’kmaq girl vanishes, echoing through decades",Sexual Violence / SA,Indigenous,Historical Fiction,,,,
The Mystery Guest,Nita Prose,BookTok,Linda,25-Jan,Cozy sequel to The Maid trending,Series Momentum,"Cozy Mystery, Humor",Yes,Ballantine,2023,304,Film,Neurodiverse,"Death, light tension",Molly the maid is back — and the hotel’s in trouble,Death / Grief,Neurodivergent,Mystery / Thriller,,,,
The Paris Library,Janet Skeslien Charles,BookTok,Linda,25-Jan,WWII book club fave resurging,Series Momentum,"Historical Fiction, WWII, Literary",No,Atria,2021,368,Not Yet Considered,,"War, loss",Real-life librarians risked it all in Nazi-occupied Paris,"Death / Grief, War / Political Oppression",,Historical Fiction,,,,
The London Séance Society,Sarah Penner,BookTok,Linda,25-Jan,Gothic mystery w/ female leads,Other / Uncategorized,"Historical Mystery, Occult",No,Park Row,2023,368,Not Yet Considered,,Murder,A spiritualist & a skeptic investigate a suspicious death,Violence,,Mystery / Thriller,,,,
Killers of a Certain Age,Deanna Raybourn,BookTok,Linda,25-Jan,Cozy thriller with sass,Viral Momentum,"Cozy Mystery, Suspense",No,Berkley,2022,368,Not Yet Considered,Aging,Violence,Four retired female assassins strike back,Violence,Disability / Illness,Mystery / Thriller,,,,
The Thursday Murder Club,Richard Osman,BookTok,Linda,25-Jan,Cozy classic stays evergreen,Classic Revisit / Reread Trend,"Cozy Mystery, Humor",Yes,Viking,2020,368,Film,Aging,"Murder, mischief",Senior sleuths solve cold cases in a retirement village,Violence,Disability / Illness,Mystery / Thriller,,,,
Remarkably Bright Creatures,Shelby Van Pelt,BookTok,Linda,25-Jan,Quiet fiction with animal wisdom,Viral Momentum,"Literary Fiction, Found Family",No,Ecco,2022,368,Film,,Grief,"An octopus, a widow, and a missing boy",Death / Grief,,Uncategorized,,Found Family,,Found Family
The Little Wartime Library,Kate Thompson,BookTok,Linda,25-Jan,WWII book club darling resurges,Series Momentum,"Historical Fiction, Librarian Vibes",No,Grand Central,2022,432,Not Yet Considered,,"Bombings, grief",A secret library built underground during the Blitz,Death / Grief,,Historical Fiction,,,,
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,BookTok,Linda,25-Jan,Cozy murder mystery + tea shop,Viral Momentum,"Cozy Mystery, Humor",No,Berkley,2023,368,Not Yet Considered,,A meddling tea shop owner solves a murder — her way,,Violence,,Mystery / Thriller,,,,
The Housekeepers,Alex Hay,BookTok,Linda,25-Jan,Feminist Ocean’s 8 in Edwardian London,Viral Momentum,"Historical Fiction, Heist",No,Graydon House,2023,352,Film,,Class tension,The maids steal from the lords — perfectly,Uncategorized,,Historical Fiction,,,,
The Mitford Affair,Marie Benedict,BookTok,Linda,25-Jan,Literary historical sister drama,Viral Momentum,"Historical Fiction, Real People",No,Sourcebooks,2023,352,Not Yet Considered,,Fascism,"Three sisters, one scandalous loyalty to Hitler",War / Political Oppression,,Historical Fiction,,,,
A Death in Door County,Annelise Ryan,BookTok,Linda,25-Jan,Cozy Midwest cryptid murder mystery,Viral Momentum,"Cozy Mystery, Folklore",Yes,Berkley,2022,352,Not Yet Considered,,"Mythical creatures, murder",A bookstore owner + death investigator track a lake monster,Violence,,Mystery / Thriller,,,,
The Bookbinder,Pip Williams,BookTok,Linda,25-Jan,Gentle historical fiction + academia,Viral Momentum,"Historical, Literary",No,Ballantine,2022,416,In Dev,,"Gender, education limits",A poor girl binds books for Oxford’s elite,Uncategorized,,Historical Fiction,,,,
The Librarian of Burned Books,Brianna Labuskes,BookTok,Linda,25-Jan,Book ban themes + WWII backdrop,Series Momentum,"Historical Fiction, Resistance",No,William Morrow,2023,384,Not Yet Considered,Jewish,Nazi regime,Female librarians defend banned books,War / Political Oppression,Ethnic & Cultural Identity,Historical Fiction,,"Oppression / Resistance, Political",,"Oppression / Resistance, Political"
West Heart Kill,Dann McDorman,BookTok,Linda,25-Jan,Meta mystery for Agatha Christie fans,Viral Momentum,"Mystery, Literary",No,Knopf,2023,304,Not Yet Considered,,Murder,A tongue-in-cheek locked room mystery with footnotes,Violence,,Mystery / Thriller,,,,
The Secret Book of Flora Lea,Patti Callahan Henry,BookTok,Linda,25-Feb,WWII sister mystery gains traction,Viral Momentum,"Historical Fiction, Mystery",No,Atria,2023,368,Not Yet Considered,,"War, loss",Sisters separated during war by a secret fairytale,"Death / Grief, War / Political Oppression",,Mystery / Thriller,,,,
Mrs. Plansky’s Revenge,Spencer Quinn,BookTok,Linda,25-Feb,Older female protagonist & cozy crime,Viral Momentum,"Cozy Mystery, Humor",Yes,Forge,2023,320,Not Yet Considered,Aging,"Fraud, mild peril",A grandmother takes on identity thieves,Uncategorized,Disability / Illness,Mystery / Thriller,,,,
The Lost Apothecary,Sarah Penner,BookTok,Linda,25-Feb,Book club favorite still trending,Series Momentum,"Historical Mystery, Feminist Fiction",No,Park Row,2021,320,Not Yet Considered,,Murder,A secret apothecary helps women kill their oppressors,Violence,,Mystery / Thriller,,Feminist Lit,,Feminist Lit
The Maid,Nita Prose,BookTok,Linda,25-Feb,Original cozy heroine resurging with sequel,Series Momentum,"Cozy Mystery, Humor",Yes,Ballantine,2022,304,Film,Neurodiverse,"Death, awkward social moments",Molly the maid stumbles into a murder at work,"Death / Grief, War / Political Oppression",Neurodivergent,Mystery / Thriller,,,,
The Bandit Queens,Parini Shroff,BookTok,Linda,25-Feb,Feminist dark comedy with heart,Viral Momentum,"Literary Fiction, Mystery, Humor",No,Ballantine,2023,352,Film,,Women in India team up to fake one husband’s death,,Death / Grief,,Mystery / Thriller,,,,
The Rose Code,Kate Quinn,BookTok,Linda,25-Feb,Historical fiction + secret code girls,Viral Momentum,"Historical, Spy Fiction",No,William Morrow,2021,656,Film,,"War, betrayal",Female codebreakers face love + espionage,War / Political Oppression,,Historical Fiction,,,,
A Quiet Life,Ethan Joella,BookTok,Linda,25-Feb,Gentle grief fiction rising again,Emotional / Trauma Themes,"Literary Fiction, Contemporary",No,Scribner,2022,288,Film,,Grief,Three people carry quiet losses through one snowy winter,Death / Grief,,Contemporary Fiction,,,,
The Book Charmer,Karen Hawkins,BookTok,Linda,25-Feb,Bookstore + magic = cozy win,Series Momentum,"Magical Realism, Women’s Fiction",Yes,Gallery,2019,368,Not Yet Considered,,Loss,A librarian’s books whisper to her… literally,Death / Grief,,Fantasy,,,,
The Wishing Game,Meg Shaffer,BookTok,Linda,25-Feb,Literary Willy Wonka vibe goes viral,Viral Momentum,"Contemporary Fiction, Light Fantasy",No,Ballantine,2023,304,Not Yet Considered,,"Adoption, hardship",A reclusive author invites fans to a secret contest,Family Conflict / Trauma,,Fantasy,,,,
The House in the Cerulean Sea,TJ Klune,BookTok,Linda,25-Feb,Wholesome fantasy still thriving,Viral Momentum,"Fantasy, Found Family",No,Tor,2020,400,Not Yet Considered,Queer,Orphanage setting,A caseworker visits magical misfits — and softens,Uncategorized,Queer Identity,Fantasy,,Found Family,,Found Family
The Love Scribe,Amy Meyerson,BookTok,Linda,25-Feb,Magical realist romance trending,Viral Momentum,"Magical Realism, Contemporary",No,Park Row,2023,352,Not Yet Considered,,,A woman writes letters that cause people to fall in love,,,Fantasy,,,,
When the Moon Turns Blue,Pamela Terry,BookTok,Linda,25-Feb,Southern fiction with generational drama,Viral Momentum,"Literary Fiction, Historical",No,Ballantine,2024,384,Not Yet Considered,,Family tension,Secrets of the past resurface after a matriarch’s death,Uncategorized,,Historical Fiction,,,,
It Ends at Midnight,Harriet Tyce,BookTok,Linda,25-Feb,Legal thriller with slow-burn tension,Viral Momentum,"Legal Thriller, Women’s Fiction",No,Grand Central,2022,352,Not Yet Considered,,"Death, legal cases",Friends unravel in a courtroom twist ending,Death / Grief,,Mystery / Thriller,,,,
The Last Bookshop in London,Madeline Martin,BookTok,Linda,25-Feb,Book club WWII staple,Series Momentum,"Historical Fiction, Bookshop Lit",No,Hanover Square,2021,320,Not Yet Considered,,Bombing,A woman saves lives and books during the Blitz,Uncategorized,,Historical Fiction,,,,
The Cracked Spine,Paige Shelton,BookTok,Linda,25-Feb,Scottish bookshop + murder = cozy,Series Momentum,"Cozy Mystery, Books",Yes,Minotaur,2016,304,Not Yet Considered,,Light murder,A curious bookseller stumbles into Edinburgh’s secrets,Violence,,Mystery / Thriller,,,,
The Lost and Found Bookshop,Susan Wiggs,BookTok,Linda,25-Mar,BookTok re-hype on comfort reads,Series Momentum,"Women’s Fiction, Family",No,William Morrow,2020,368,Not Yet Considered,,"Inheritance, grief",A woman inherits her mother’s bookshop and its secrets,"Death / Grief, Family Conflict / Trauma",,Uncategorized,,,,
The Book Woman of Troublesome Creek,Kim Michele Richardson,BookTok,Linda,25-Mar,Blue-skinned heroine’s legacy trending again,Viral Momentum,"Historical Fiction, Appalachia",Yes,Sourcebooks,2019,320,Not Yet Considered,,"Racism, isolation",A Depression-era woman delivers books on horseback,Racism / Discrimination,,Historical Fiction,,,,
The Reading List,Sara Nisha Adams,BookTok,Linda,25-Mar,Cross-generational library joy,Viral Momentum,"Literary Fiction, Found Family",No,Harper,2021,384,Film,South Asian,"Grief, loneliness",A shared book list transforms strangers into companions,Death / Grief,Asian / South Asian,Uncategorized,,Found Family,,Found Family
"The Secret, Book & Scone Society",Ellery Adams,BookTok,Linda,25-Mar,Cozy mystery + bakery + trauma healing,Emotional / Trauma Themes,"Cozy Mystery, Women’s Fiction",Yes,Kensington,2017,304,Not Yet Considered,,"Abuse, friendship",A secretive woman joins a bibliotherapy book club,Abuse (Emotional/Physical),,Mystery / Thriller,,,,
Someone Else’s Shoes,Jojo Moyes,BookTok,Linda,25-Mar,Humor + midlife shake-up vibes,Viral Momentum,"Contemporary Fiction, Humor",No,Pamela Dorman Books,2023,432,Not Yet Considered,,"Divorce, stress",Two women accidentally swap lives — and find freedom,Uncategorized,,Contemporary Fiction,,,,
The Garden of Small Beginnings,Abbi Waxman,BookTok,Linda,25-Mar,Gardening + healing = cozy vibe,Viral Momentum,"Women’s Fiction, Humor",No,Berkley,2017,368,Not Yet Considered,,Widowhood,A mom rediscovers joy through dirt and vegetables,Death / Grief,,Uncategorized,,,,
Death at the Chateau Bremont,M.L. Longworth,BookTok,Linda,25-Mar,French countryside mystery resurging,Viral Momentum,"Cozy Mystery, Travel Lit",Yes,Penguin,2011,320,Not Yet Considered,,"Death, food","Provence, pastries, and a local death",Death / Grief,,Mystery / Thriller,,,,
The Guncle,Steven Rowley,BookTok,Linda,25-Mar,Wholesome grief comedy still strong,Emotional / Trauma Themes,"Contemporary, Found Family",No,Putnam,2021,336,Film,Queer,"Loss, guardianship",A gay uncle cares for two kids after tragedy,Death / Grief,Queer Identity,Contemporary Fiction,,Found Family,,Found Family
Finlay Donovan Is Killing It,Elle Cosimano,BookTok,Linda,25-Mar,Accidental assassin still going viral,Viral Momentum,"Cozy Thriller, Comedy",Yes,Minotaur,2021,368,Not Yet Considered,,"Murder, dark humor",A mom is mistaken for a hitwoman — and plays along,Violence,,Mystery / Thriller,,,,
The Storyteller’s Secret,Sejal Badani,BookTok,Linda,25-Mar,Historical India + family secrets,Viral Momentum,"Historical Fiction, Women’s Fiction",No,Lake Union,2018,390,Not Yet Considered,South Asian,Trauma,A New York woman discovers her mother’s hidden legacy,Uncategorized,Asian / South Asian,Historical Fiction,,,,
Meet Me at the Museum,Anne Youngson,BookTok,Linda,25-Mar,Quiet letter-writing novel trending,Viral Momentum,"Literary, Epistolary, Contemporary",No,Flatiron,2019,272,Not Yet Considered,,Grief,A farmer’s wife and museum curator trade letters and truths,Death / Grief,,Contemporary Fiction,,,Epistolary,Epistolary
The Marlow Murder Club,Robert Thorogood,BookTok,Linda,25-Mar,New cozy mystery buzz,New Release Buzz,"Cozy Mystery, Humor",Yes,Poisoned Pen,2023,336,TV,,"Death, comedy",Three older women solve crimes for fun,Death / Grief,,Mystery / Thriller,,,,
A Quiet Life in the Country,T.E. Kinsey,BookTok,Linda,25-Mar,Lady sleuths with Downton Abbey vibes,Viral Momentum,"Cozy Mystery, Historical",Yes,Thomas & Mercer,2016,296,TV,,Light murder,"1900s Britain, tea, gossip, and solving murders",Violence,,Mystery / Thriller,,,,
The Alice Network,Kate Quinn,BookTok,Linda,25-Mar,Dual timeline war fiction surging again,Viral Momentum,"Historical Fiction, Spy Lit",No,William Morrow,2017,528,Not Yet Considered,,"SA, war",Female spies during WWI and WWII,"Sexual Violence / SA, War / Political Oppression",,Historical Fiction,,,,
Before We Were Strangers,Renée Carlino,BookTok,Linda,25-Mar,Romance + second chances trending,Viral Momentum,"Romance, Women’s Fiction",No,Atria,2015,320,Not Yet Considered,,Longing,Two people reconnect after years apart,Uncategorized,,Romance,,,,
The Women,Kristin Hannah,BookTok,Linda,25-Apr,"Major book club hit, still trending",Series Momentum,"Historical Fiction, War, Feminist Lit",No,St. Martin’s Press,2024,480,Film,,"War, sexism",A female combat nurse in Vietnam fights to be heard,War / Political Oppression,,Historical Fiction,,Feminist Lit,,Feminist Lit
The Keeper of Hidden Books,Madeline Martin,BookTok,Linda,25-Apr,Bookstores + resistance = big hit,Series Momentum,"Historical Fiction, WWII",No,Hanover Square Press,2023,400,Not Yet Considered,Jewish,Nazi regime,A girl in Warsaw fights back with books,War / Political Oppression,Ethnic & Cultural Identity,Historical Fiction,,,,
The Mostly True Story of Tanner & Louise,Colleen Oakley,BookTok,Linda,25-Apr,Odd-couple road trip surging in cozy circles,Viral Momentum,"Contemporary Fiction, Humor",No,Berkley,2023,352,Not Yet Considered,Aging,,A grandma may (or may not) be a jewel thief,,Disability / Illness,Contemporary Fiction,,,,
